time,number,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh
04:04:18.586755,0,179.67,181.56,1.34,889103.87,280144.03,2213960.25,71.85,112.97
04:04:18.930886,1,179.67,181.56,1.34,889103.87,280144.03,2213960.25,71.85,112.97
04:04:19.271876,2,181.54,183.75,1.34,903165.62,283894.34,2317240.50,73.19,115.38
04:04:19.619370,3,184.66,187.40,1.34,926602.12,290144.84,2489373.75,75.41,117.79
04:04:19.955025,4,184.66,187.40,1.34,926602.12,290144.84,2489373.75,75.41,117.79
04:04:20.296125,5,184.66,187.40,1.34,926602.12,290144.84,2489373.75,75.41,117.79
04:04:20.636568,6,184.66,187.40,1.33,926602.12,290144.84,2489373.75,75.41,117.79
04:04:20.977139,7,184.66,187.40,1.33,926602.12,290144.84,2489373.75,75.41,117.79
04:04:21.318959,8,185.29,186.82,1.33,931422.87,291425.53,2460684.75,75.05,117.30
04:04:21.660885,9,185.93,186.23,1.33,936243.56,292706.21,2431996.00,74.69,116.81
04:04:22.003094,10,185.93,186.23,1.33,936243.56,292706.21,2431996.00,74.69,116.81
04:04:22.341336,11,185.93,186.23,1.33,936243.56,292706.21,2431996.00,74.69,116.81
04:04:22.683925,12,185.93,186.23,1.33,936243.56,292706.21,2431996.00,74.69,116.81
04:04:23.025549,13,185.93,186.23,1.33,936243.56,292706.21,2431996.00,74.69,116.81
04:04:23.369461,14,185.13,186.23,1.33,930217.62,291105.37,2431996.00,74.69,116.81
04:04:23.710406,15,184.66,186.23,1.33,926602.12,290144.84,2431996.00,74.69,116.81
04:04:24.052696,16,184.66,186.23,1.33,926602.12,290144.84,2431996.00,74.69,116.81
04:04:24.393222,17,183.09,182.59,1.34,912382.81,286358.40,2229661.00,72.04,113.22
04:04:24.734366,18,182.14,180.40,1.34,907643.06,285096.25,2162216.25,71.15,112.03
04:04:25.075654,19,182.14,180.40,1.34,907643.06,285096.25,2162216.25,71.15,112.03
04:04:25.423372,20,180.29,174.42,1.34,893738.62,281382.09,1912139.75,67.00,106.36
04:04:25.760755,21,179.67,172.42,1.34,889103.87,280144.03,1828780.87,66.40,105.55
04:04:26.102837,22,179.67,172.42,1.34,889103.87,280144.03,1828780.87,66.40,105.55
04:04:26.444234,23,176.93,167.41,1.37,865440.50,273798.71,1610877.50,63.00,100.86
04:04:26.785150,24,176.02,165.73,1.37,862060.06,272892.25,1579748.50,62.51,100.19
04:04:27.127943,25,176.02,165.73,1.37,862060.06,272892.25,1579748.50,62.51,100.19
04:04:27.468136,26,178.14,178.57,1.36,877747.50,277102.21,2089407.62,71.15,112.03
