time,number,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh
18:04:03.975601,0,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.021611,1,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.082601,2,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.275629,3,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.284604,4,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.320602,5,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.415603,6,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.468601,7,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.542601,8,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.609602,9,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.616598,10,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.639646,11,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.660613,12,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.664601,13,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.699636,14,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.734598,15,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.786600,16,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.894605,17,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.932601,18,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:04.970603,19,8.54,4.03,0.08,25875.05,10158.64,460.29,0.64,1.45
18:04:05.014600,20,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.018600,21,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.063602,22,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.124600,23,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.162603,24,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.211601,25,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.260600,26,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.309600,27,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.378602,28,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.419607,29,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.464599,30,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.509599,31,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.564663,32,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.616664,33,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.734688,34,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.744666,35,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.795663,36,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.843669,37,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.918664,38,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.929681,39,8.40,3.86,0.08,25246.90,9948.86,391.86,0.60,1.37
18:04:05.982665,40,8.40,3.86,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.109665,41,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.116663,42,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.169665,43,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.236663,44,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.252664,45,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.374697,46,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.466659,47,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.535662,48,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.613669,49,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.644663,50,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.681664,51,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.778662,52,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.834662,53,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.917664,54,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:06.966664,55,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
18:04:07.007662,56,8.54,3.83,0.08,25875.05,10158.64,383.99,0.59,1.36
