time,number,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh
13:54:05.177004,0,191.83,31.84,0.03,2821126.75,545613.18,969268.00,15.06,22.06
13:54:05.231006,1,191.83,31.84,0.03,2821126.75,545613.18,969268.00,15.06,22.06
13:54:05.279006,2,191.83,31.84,0.03,2821126.75,545613.18,969268.00,15.06,22.06
13:54:05.316006,3,191.83,31.84,0.03,2821126.75,545613.18,969268.00,15.06,22.06
13:54:05.361004,4,191.83,31.84,0.03,2821126.75,545613.18,969268.00,15.06,22.06
13:54:05.409007,5,191.83,31.84,0.03,2821126.75,545613.18,969268.00,15.06,22.06
13:54:05.466006,6,191.83,31.84,0.03,2821126.75,545613.18,969268.00,15.06,22.06
13:54:05.528007,7,191.83,31.84,0.03,2821126.75,545613.18,969268.00,15.06,22.06
13:54:05.614007,8,191.83,31.84,0.03,2821126.75,545613.18,969268.00,15.06,20.48
13:54:05.714009,9,184.75,30.10,0.03,2665642.50,519971.96,787037.25,13.82,20.48
13:54:05.758008,10,184.75,30.10,0.03,2665642.50,519971.96,787037.25,13.82,20.48
13:54:05.812012,11,184.75,30.10,0.03,2665642.50,519971.96,787037.25,13.82,20.48
13:54:05.844007,12,184.75,30.10,0.03,2665642.50,519971.96,787037.25,13.82,20.48
13:54:05.850007,13,184.75,30.10,0.03,2665642.50,519971.96,787037.25,13.82,20.48
13:54:05.896009,14,184.75,30.10,0.03,2665642.50,519971.96,787037.25,13.82,20.48
13:54:05.926009,15,184.75,30.10,0.03,2665642.50,519971.96,787037.25,13.82,20.48
13:54:05.938009,16,184.75,30.10,0.03,2665642.50,519971.96,787037.25,13.82,20.48
13:54:05.978009,17,184.75,30.10,0.03,2665642.50,519971.96,787037.25,13.82,20.48
13:54:06.033006,18,184.75,30.10,0.03,2665642.50,519971.96,787037.25,13.82,20.48
13:54:06.047007,19,184.75,30.10,0.03,2665642.50,519971.96,787037.25,13.82,20.48
